file,avg_energy,avg_latency,deadline_success,cloud_tasks,edge_tasks,device_tasks,total_tasks
results/result_125.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_126.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_127.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_128.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_129.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_130.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_131.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_132.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_133.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_134.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_135.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_136.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_137.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_138.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_139.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_140.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_141.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_142.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
results/result_143.json,2.9831948805806823,1.5920760231385418,0.9,10,0,0,10
